scene_name,scene_id,pair_id,rgb_relative_path,thermal_relative_path,internal_reason,paper_facing_category,invalid_modalities
13_lowlight_pseudocolor_road_469,13,000058,13_lowlight_pseudocolor_road_469/rgb/000058.jpg,13_lowlight_pseudocolor_road_469/thermal/000058.jpg,decode_invalid,integrity_excluded,thermal
13_lowlight_pseudocolor_road_469,13,000080,13_lowlight_pseudocolor_road_469/rgb/000080.jpg,13_lowlight_pseudocolor_road_469/thermal/000080.jpg,decode_invalid,integrity_excluded,thermal
